1 6553 6516 0.7 1.0 NaN NaN 1162 NaN 2253 1946 446 4504 37 923
0 7272 7235 0.5 0.9 NaN 37 NaN NaN 173 NaN 821 3344 4367 NaN
1 6150 5875 0.3 1.0 NaN 1094 NaN 275 NaN 3720 NaN NaN NaN NaN
0 7250 7213 0.4 0.9 4845 37 NaN NaN 651 NaN NaN NaN 37 NaN
1 4953 4916 0.2 1.0 NaN 37 139 NaN NaN NaN NaN NaN NaN NaN
0 6386 4644 0.3 0.6 NaN 5186 NaN NaN NaN 1742 6686 NaN NaN NaN
0 4715 4644 0.6 0.9 NaN NaN 71 1878 NaN NaN 4061 4095 1060 6720
0 4984 3822 0.5 0.6 3720 3072 NaN 6652 5868 NaN 1162 NaN NaN NaN
1 6128 6091 0.5 1.0 NaN 1605 NaN NaN 37 37 37 2560 NaN NaN
1 4848 4811 0.5 1.0 4538 NaN NaN 37 NaN NaN 3379 582 582 NaN
0 6110 6073 0.3 0.4 NaN NaN 37 NaN 4231 NaN NaN 2901 NaN NaN
1 3893 3856 0.7 1.0 2219 NaN 821 NaN 7402 378 685 NaN 5868 37
0 7440 4164 0.3 0.9 NaN NaN NaN 3481 3992 NaN NaN 3276 NaN NaN
0 6280 2185 0.1 0.2 NaN NaN NaN NaN NaN NaN NaN 4095 NaN NaN
1 4575 4538 0.8 1.0 NaN 4947 NaN 548 5697 37 37 37 241 2356
1 3896 3859 0.6 1.0 37 6584 37 5834 NaN 4231 NaN 2935 NaN NaN
1 4578 4541 0.4 1.0 241 4674 NaN 139 NaN NaN 37 NaN NaN NaN
1 1370 1333 0.7 1.0 37 NaN 2015 37 7402 NaN 37 NaN 6584 4061
1 1922 1885 0.6 1.0 6038 NaN 37 37 6277 4095 NaN 514 NaN NaN
1 5149 4737 0.4 1.0 4402 NaN NaN 412 NaN NaN 3685 NaN NaN 889
0 6485 6448 0.4 0.9 5084 NaN 37 NaN NaN 4947 NaN NaN 7334 NaN
1 6224 6187 0.5 1.0 2390 NaN 6823 NaN NaN 207 NaN 37 NaN 753
1 2263 2226 0.7 1.0 582 105 NaN 71 NaN NaN 2219 5288 37 6720
0 6996 5663 0.4 0.9 NaN NaN NaN 1435 NaN 2321 1333 NaN NaN 3447
1 1546 1509 0.7 1.0 1196 NaN 4811 2458 5152 6959 NaN 787 NaN 37
1 1745 1708 0.8 1.0 6379 1298 37 37 NaN 5595 787 582 37 NaN
1 6624 6587 0.5 1.0 3958 NaN 582 NaN 5663 NaN NaN 6823 37 NaN
0 6798 6761 0.2 0.9 37 NaN NaN NaN NaN NaN 412 NaN NaN NaN
0 7312 6696 0.3 0.8 NaN NaN NaN NaN NaN 1230 NaN 4095 616 NaN
1 6246 5323 0.1 1.0 NaN NaN NaN NaN NaN 923 NaN NaN NaN NaN
1 6488 6110 0.4 1.0 1571 NaN NaN NaN 1026 NaN 378 NaN 412 NaN
0 5564 5254 0.3 0.6 NaN NaN 310 NaN NaN NaN 2015 NaN NaN 3788
1 3047 3010 0.9 1.0 651 5118 5049 651 NaN 548 37 344 514 6891
1 2734 2663 0.5 1.0 NaN NaN 344 NaN NaN 3924 NaN 71 4845 4470
0 4575 4538 0.7 0.9 5834 37 412 6516 2117 NaN 344 NaN NaN 37
0 3723 3686 0.3 0.9 37 NaN NaN 2049 NaN NaN NaN NaN NaN 480
0 7040 6389 0.2 0.4 2185 NaN NaN 651 NaN NaN NaN NaN NaN NaN
1 2870 2833 0.7 1.0 37 NaN NaN 957 37 37 37 71 3617 NaN
0 3794 3757 0.5 0.9 NaN NaN NaN NaN 37 37 3788 NaN 4845 4879
1 3255 3218 0.4 1.0 NaN 37 NaN NaN NaN 889 1060 NaN NaN 37
1 3499 2848 0.5 1.0 7402 NaN NaN 1298 NaN 651 NaN 3242 NaN 685
1 7068 7031 0.5 1.0 446 6175 37 NaN NaN 105 NaN 446 NaN NaN
0 7108 6764 0.5 0.8 NaN 1196 NaN 2356 NaN 957 NaN 4606 344 NaN
1 7409 7372 0.5 1.0 NaN NaN 37 NaN NaN 37 651 NaN 105 2628
0 6246 4504 0.5 0.9 NaN 5356 NaN NaN 1742 5220 NaN NaN 5390 5663
1 5852 5099 0.3 1.0 5663 NaN NaN NaN NaN 753 6618 NaN NaN NaN
0 5471 5434 0.4 0.9 2390 NaN 412 NaN 855 NaN 37 NaN NaN NaN
1 4994 4957 0.6 1.0 1264 NaN 5254 NaN NaN 7027 719 4708 37 NaN
1 4963 4722 0.5 1.0 NaN NaN 241 NaN 7198 6516 3344 3242 NaN NaN
1 3927 3890 0.7 1.0 NaN 37 37 4879 992 NaN 1094 37 6789 NaN
0 5124 5087 0.4 0.4 NaN NaN 37 NaN NaN NaN 5049 NaN 5322 2662
